clauseRef,title,body,tags
13.1,Paid Statutory Holidays,"Entitlement to Family Day, Good Friday, Victoria Day, Canada Day, Civic Holiday, Labour Day, Thanksgiving, Christmas Day, Dec 26, New Year's Day paid per ESA.",OPSEU|CAAT-PTSS|Holidays
13.4,Working on Holidays,Authorized work on designated holiday paid at time and one-half (1.5x) for all hours worked PLUS statutory holiday pay entitlement.,OPSEU|CAAT-PTSS|Holidays|Overtime
14.1,Vacation Pay Entitlement & 6% Rate (Award 2025),"Vacation pay equal to 4% of earnings (< 5 yrs) and 6% (>= 5 yrs). Effective February 1, 2026: College pays 6% vacation pay to ALL employees. Paid each pay period.",OPSEU|CAAT-PTSS|Vacation Pay|Award
14.2,Scheduling Vacation Time,Unpaid vacation preference submitted by March 1st; written approval/denial by March 15th. Requests not unreasonably denied.,OPSEU|CAAT-PTSS|Vacation
15.1,Personal Leave Without Pay,Unpaid leave of absence may be granted by the College for legitimate personal reasons.,OPSEU|CAAT-PTSS|Leaves
15.2,Bereavement Leave & Chosen Family (Award 2025),"Leave of 3 or more contiguous days without loss of pay granted on death of parent, spouse, child, sibling, parent-in-law, child-in-law, grandparent, chosen family, or guardian. 1 day paid leave for aunt, uncle, niece, nephew. Chosen family refers to non-biological kinship bonds.",OPSEU|CAAT-PTSS|Bereavement|Chosen Family|Award
15.3,Jury / Witness Duty,Regular Part-Time subpoenaed or called for jury duty paid difference between regular pay and jury fee received.,OPSEU|CAAT-PTSS|Jury Duty
15.4,Citizenship Leave,Regular Part-Time granted paid leave up to maximum of two (2) shifts to attend proceedings to acquire Canadian Citizenship.,OPSEU|CAAT-PTSS|Citizenship Leave
15.5,Pregnancy Leave,17 weeks unpaid pregnancy leave per ESA for pregnant employees employed at least 13 weeks prior to expected delivery.,OPSEU|CAAT-PTSS|Pregnancy Leave
15.6,Parental Leave,35 weeks (post-pregnancy) or 37 weeks (new parent) unpaid parental leave per ESA for employees employed at least 13 weeks.,OPSEU|CAAT-PTSS|Parental Leave|Award
15.8,Seniority Accumulation During Pregnancy/Parental Leave (Award 2025),Employees on pregnancy or parental leave shall continue to accumulate seniority for the duration of their leaves.,OPSEU|CAAT-PTSS|Seniority|Pregnancy Leave|Parental Leave|Award
16.1,Occupational Health & Safety Act,The parties acknowledge the statutory application of the Occupational Health and Safety Act.,OPSEU|CAAT-PTSS|Health & Safety
16.4.1,Safety Footwear Reimbursement,Reimbursement up to $150.00 every two years upon proof of purchase for Regular Part-Time required to wear protective footwear.,OPSEU|CAAT-PTSS|Safety Footwear|Expenses
16.4.2,Prescription Eye Protection Allowance,Reimbursement up to $20.00 annually for Regular Part-Time required to wear prescription eye protection.,OPSEU|CAAT-PTSS|Safety Equipment
16.4.3,Legislation Required Safety Equipment (Award 2025),"Where legislation requires specific safety equipment for an employee to perform duties, the College provides equipment at NO COST to employee.",OPSEU|CAAT-PTSS|Health & Safety|Equipment|Award
17.1,Seniority Determination & Probation Period,"Seniority is length of regular part-time service since hire date. Probationary period is 742 hours worked. Seniority lists published Oct, Feb, June.",OPSEU|CAAT-PTSS|Seniority|Probation
17.1.1,Transfer Into Bargaining Unit Seniority Credit (Award 2025),"Accumulated college service outside bargaining unit credited toward seniority upon passing probation, unless interrupted by employment break >= 13 consecutive weeks.",OPSEU|CAAT-PTSS|Seniority|Transfer|Award
17.2,Loss of Seniority,"Seniority lost upon voluntary quit, discharge for cause, layoff > 12 months, overstaying leave, or unauthorized absence exceeding 5 working days.",OPSEU|CAAT-PTSS|Seniority
18.1,Definition of Layoff,Regular Part-Time laid off if position eliminated or scheduled hours reduced by > 50% for more than 10 weeks in calendar year.,OPSEU|CAAT-PTSS|Layoff
18.2,Notice of Layoff to Union,Written notice to Local Union prior to employee notice. Layoff meeting held within 7 days; no layoff implemented until 14 days after notice.,OPSEU|CAAT-PTSS|Layoff|Union Notice
18.3,Notice of Layoff to Employee,Regular Part-Time completing probation receives minimum twenty-one (21) calendar days written notice of layoff.,OPSEU|CAAT-PTSS|Layoff Notice
18.5,Procedures for Layoff & Bumping,Layoff sequence: 1) Placed in vacant RPT position; 2) Bumps probationary employee; 3) Bumps most junior RPT in department; 4) Placed on recall list.,OPSEU|CAAT-PTSS|Layoff|Bumping
18.6,Recall List Rights,Laid-off RPT placed on recall list for 12 months. Recalled in order of seniority before hiring from open market.,OPSEU|CAAT-PTSS|Recall Rights
19.1,Job Postings & Requesting PDF Copy (Award 2025),Permanent vacancies posted internally for 5 days before outside hiring. Current employees may request copy of the most recent job posting of their position.,OPSEU|CAAT-PTSS|Job Postings|Award
19.1.1,Job Competition Consideration,"Successful applicant determined on qualifications, experience, and seniority. Seniority governs where qualifications and experience are relatively equal.",OPSEU|CAAT-PTSS|Job Postings|Promotions
19.1.5,Vacancy Reoccurring Within 6 Months Exemption (Award 2025),"If successful applicant leaves position within 6 months, College may reconsider original internal interviewed applicants or repost.",OPSEU|CAAT-PTSS|Job Postings|Award
19.1.5.1,Temporary Higher Wage Rate Assignment,RPT temporarily assigned higher-rated position duties for excess of 5 working days receives higher wage rate.,OPSEU|CAAT-PTSS|Temporary Assignment|Wages
19.4,Consideration for Full-Time Unit Work,"Where full-time support vacancies posted and no full-time applicant selected, part-time bargaining unit applicants given consideration.",OPSEU|CAAT-PTSS|Full-Time Opportunities
20.1.3,Definition of Grievance,"Grievance defined as written complaint arising from interpretation, application, administration, or alleged violation of Agreement.",OPSEU|CAAT-PTSS|Grievance Definition
20.2.4,Maintenance of Wages for Grievance Meetings,Grievor and Steward/Union Officer suffer no loss of pay when leaving duties during regular hours to attend grievance meetings.,OPSEU|CAAT-PTSS|Grievances|Paid Union Time
20.3.1,Grievance Filing Timeline,Grievance must be presented within fifteen (15) days after circumstances giving rise to complaint occurred or ought reasonably to have come to attention.,OPSEU|CAAT-PTSS|Grievance Timelines
20.3.2,Step 1 Grievance Procedure,Signed written grievance submitted to Department Head. Written decision provided within ten (10) days.,OPSEU|CAAT-PTSS|Grievance Step 1
20.3.3,Step 2 Grievance Procedure,Appeal in writing within 10 days to HR Director. Meeting convened within 14 days; written decision given within 10 days following meeting.,OPSEU|CAAT-PTSS|Grievance Step 2
20.3.4,Group Grievances,Identical grievances across multiple employees processed directly at Step 2 signed by each affected employee.,OPSEU|CAAT-PTSS|Group Grievance
20.3.6,Union Policy Grievance,"Union right to file policy grievance on direct differences with College within 30 days, processed at Step 2.",OPSEU|CAAT-PTSS|Union Grievance
20.4.1,Referral to Mediation / Arbitration,Unsettled grievances referred to Mediation/Arbitration by written notice given within ten (10) days of Step 2 decision.,OPSEU|CAAT-PTSS|Arbitration|Mediation
Appendix 1.6,Student Employee Rights & Interview Feedback (Award 2025),"Student employees covered by Human Rights, Harassment, Union Matters, Overtime, Wages, Holidays, Vacation Pay, Bereavement, and Health & Safety. Interviewed student applicants may request application feedback within 5 days.",OPSEU|CAAT-PTSS|Student Employees|Award
Appendix 3A.7,Temporary Employee Rights,"Temporary employees covered by Human Rights, Harassment, Union Matters, Overtime, Wages, Shift Premium, Holidays, Vacation Pay, Bereavement, and Health & Safety.",OPSEU|CAAT-PTSS|Temporary Employees|Award
Appendix 3B.6,Casual Employee Rights,"Casual employees covered by Human Rights, Harassment, Union Matters, Overtime, Wages, Holidays, Vacation Pay, Bereavement, and Health & Safety.",OPSEU|CAAT-PTSS|Casual Employees|Award
LoU.Indigenous,Indigenous Commitment Letter of Understanding (Award 2025),Shared commitment to removing employment barriers for Indigenous peoples and acknowledging traditional territories. Discussed at Union/College Committee and shared annually with EERC.,OPSEU|CAAT-PTSS|LOU|Indigenous Commitment|Award
LoU.EDI,"Commitment to Equity, Diversity, and Inclusivity (Award 2025)","Shared commitment to promoting a diverse, equitable, and inclusive workplace. Strategies, training, and initiatives discussed at Union/College Committee and reported annually to EERC.",OPSEU|CAAT-PTSS|LOU|EDI|Award
