clauseRef,title,body,tags
5.01,No Strike and No Lock-Out,"There shall be no strike by the Union and no lock-out by the CEC during the term of this Agreement, as defined under CCBA 2008.",OPSEU|CAAT-A|2021-2024|Strikes|Lockouts
6.01,Management Functions,"The College retains exclusive management functions to maintain order, hire, discharge, classify, assign, promote, lay off, discipline, and direct operations, exercised consistently with the provisions of this Agreement.",OPSEU|CAAT-A|2021-2024|Management Rights
7.01,Union/College Local Committee,The Union Local may appoint a Local Committee of up to 3 members per College (plus campus committees for satellite campuses 32+ km away with 20+ staff) to discuss local employment matters.,OPSEU|CAAT-A|2021-2024|Union Committees|Local Labor Relations
8.01,Release Time for Union Business & Arbitration,"Up to 5 employees per College shall be released from duty to engage in Arbitration Board Hearings, Provincial Union Committees, or Union conventions without loss of regular salary or benefits.",OPSEU|CAAT-A|2021-2024|Union Leave|Release Time
8.03.A,Negotiating Team Paid Release Time,"The 7 members of the Union negotiating team shall receive paid leaves of absence from the start of collective bargaining until contract completion, with full seniority accumulation.",OPSEU|CAAT-A|2021-2024|Bargaining|Union Leave
8.04.B,Teaching Contact Hour Reduction for Union Local,"Each College shall provide a reduction of up to 65 teaching contact hours (TCH) per week as requested by the Union Local for local administration (3 hours work = 1 TCH for Librarians/Counsellors, recorded as 2.17 workload hours on SWF).",OPSEU|CAAT-A|2021-2024|Union Release|SWF
8.06,Leave for Full-Time Union Office,"Upon written application, a leave of absence without pay but with full seniority accumulation shall be granted to up to 2 employees elected to full-time Union office for a 2-year term.",OPSEU|CAAT-A|2021-2024|Union Leave|Executive Office
10.01,Mandatory Union Dues Deduction,The College shall deduct regular monthly Union dues from the pay of all employees covered by this Agreement and remit them to Union Head Office and the Local Treasurer.,OPSEU|CAAT-A|2021-2024|Union Dues
11.01.A,Workload Adherence Requirement,"Each teacher shall have an assigned workload that strictly adheres to the formula, limits, and provisions of Article 11.",OPSEU|CAAT-A|2021-2024|Workload|SWF
11.01.B.1,Maximum Weekly Workload Hours (44 Hours),Total assigned weekly workload shall not exceed 44 hours in any week for up to 36 weeks (post-secondary) or 38 weeks (non-post-secondary) with teaching contact hours. The balance of the year is reserved for complementary functions and PD.,OPSEU|CAAT-A|2021-2024|Workload|Maximum Hours
11.01.B.2,Teaching Contact Hour (TCH) Definition,"A Teaching Contact Hour is a College scheduled teaching hour assigned to the teacher regardless of delivery mode (online, hybrid, or classroom).",OPSEU|CAAT-A|2021-2024|Workload|TCH
11.01.C,50-Minute Class Block Structure,Each teaching contact hour is assigned as a 50-minute teaching block plus a break of up to 10 minutes.,OPSEU|CAAT-A|2021-2024|Workload|Class Scheduling
11.01.D.1,Course Preparation Factors,"Preparation hours per week are attributed based on course type: New (1:1.10), Established A (1:0.85), Established B (1:0.60), Repeat A (1:0.45), Repeat B (1:0.35), and Special A/B.",OPSEU|CAAT-A|2021-2024|Workload|Preparation Ratio
11.01.D.2,Maximum Course Preparations Limit (Max 4),No more than 4 different course preparations shall be assigned to a teacher in a given week except by voluntary agreement.,OPSEU|CAAT-A|2021-2024|Workload|Course Preparations
11.01.E.1,Evaluation and Feedback Ratios,"Evaluation hours per student per week are attributed by method: Essay or Project (1:0.030), Routine or Assisted (1:0.015), and In-Process (1:0.0092).",OPSEU|CAAT-A|2021-2024|Workload|Evaluation Ratio
11.01.F.1,Complementary Functions Minimum Allowance (6 Hours),A minimum allowance of 6 hours of weekly workload shall be attributed for complementary functions: 4 hours for routine out-of-class student assistance and 2 hours for normal administrative tasks.,OPSEU|CAAT-A|2021-2024|Workload|Complementary Hours
11.01.F.2,High Student Load Allowance (>260 Students),"When a teacher's total course load exceeds 260 students, additional out-of-class student assistance time shall be attributed at 0.015 hours per student in excess of 260 if concerns are not otherwise alleviated.",OPSEU|CAAT-A|2021-2024|Workload|High Student Load
11.01.H.1,Professional Development Days Entitlement (10 Days),"The College shall allow each teacher at least 10 working days of professional development (PD) in each academic year, including at least 5 consecutive working days.",OPSEU|CAAT-A|2021-2024|Professional Development|PD Days
11.01.I,Weekly Teaching Contact Hour Limits (18 / 20 TCH),Weekly teaching contact hours shall not exceed 18 hours in post-secondary programs or 20 hours in non-post-secondary programs.,OPSEU|CAAT-A|2021-2024|Workload|TCH Limits
11.01.J.1,Voluntary Overtime Limits,Overtime worked by a teacher shall be voluntary and shall not exceed 1 teaching contact hour or 3 total workload hours in any week.,OPSEU|CAAT-A|2021-2024|Workload|Overtime
11.01.J.2,Overtime Compensation Rate,Authorized voluntary overtime contact hours or total workload hours beyond weekly maxima shall be compensated at 0.1% of annual regular salary per hour.,OPSEU|CAAT-A|2021-2024|Workload|Overtime Pay
11.01.J.4,Probationary Teacher Overtime Ban,Probationary teachers shall NOT be assigned teaching contact hours or total workload hours in excess of weekly maxima under any circumstances.,OPSEU|CAAT-A|2021-2024|Workload|Probationary Faculty
11.01.K.1,Annual Contact Days Limits (180 / 190 Days),Contact days shall not exceed 180 days per academic year for post-secondary teachers or 190 days for non-post-secondary teachers.,OPSEU|CAAT-A|2021-2024|Workload|Contact Days
11.01.K.3,Annual Teaching Contact Hour Limits (648 / 760 TCH),Teaching contact hours shall not exceed 648 TCH per academic year for post-secondary teachers or 760 TCH for non-post-secondary teachers.,OPSEU|CAAT-A|2021-2024|Workload|Annual TCH Max
11.01.L.1,Daily Contact Span Limit (8 Hours),The contact day shall not exceed 8 hours from the start of the first assigned hour to the end of the last assigned hour except by written voluntary agreement.,OPSEU|CAAT-A|2021-2024|Workload|Daily Span
11.01.L.2,Minimum Rest Between Work Days (12 Hours),Every effort shall be made to ensure work is not assigned to begin less than 12 hours after the end of the previous day's work assignment.,OPSEU|CAAT-A|2021-2024|Workload|Rest Period
11.01.L.3,Weekend Work Premium Credit (1.5x),A teacher assigned to work on Saturday or Sunday shall be credited with 1.5 times the credit hours normally given for hours assigned and attributed.,OPSEU|CAAT-A|2021-2024|Workload|Weekend Work
11.02.A.1,Standard Workload Form (SWF) 6-Week Notice,The supervisor shall discuss proposed workload and provide a completed Standard Workload Form (SWF) to the teacher at least 6 weeks prior to the start of the timetable period.,OPSEU|CAAT-A|2021-2024|SWF|Timetabling
11.02.A.4,SWF Disagreement & 5-Day WMG Referral,"If a teacher disagrees with their SWF, they must indicate disagreement in writing within 5 working days of receipt. The supervisor forwards it to the Workload Monitoring Group (WMG) within 3 working days.",OPSEU|CAAT-A|2021-2024|SWF|WMG Referral
11.02.B.1,Workload Monitoring Group (WMG) & Indigenous Advisors,A joint WMG operates at each College to resolve workload disputes. An Indigenous teacher may bring an Indigenous Elder or Traditional Knowledge Keeper as an advisor.,OPSEU|CAAT-A|2021-2024|WMG|Workload Disputes
11.02.E.1,Workload Resolution Arbitrator (WRA) Referral,"If WMG does not resolve a workload dispute within 3 weeks of referral, the teacher may refer the matter to a Workload Resolution Arbitrator (WRA) within 1 week.",OPSEU|CAAT-A|2021-2024|WRA|Arbitration
11.03,Academic Year Duration (10 Months),The academic year is 10 months in duration (normally Sept 1 to June 30). Scheduling in July or August requires consent or a rotational system.,OPSEU|CAAT-A|2021-2024|Academic Year|Scheduling
11.04.A,Counsellor and Librarian Weekly Hours (35 Hours),The assigned weekly hours of work for Librarians and Counsellors shall be 35 hours per week.,OPSEU|CAAT-A|2021-2024|Counsellors|Librarians
11.04.B.1,Counsellor and Librarian PD Days (10 Days),"Counsellors and Librarians are entitled to at least 10 working days of professional development per academic year, including 5 consecutive days.",OPSEU|CAAT-A|2021-2024|Counsellors|Librarians|PD Days
11.09.A.1,Modified Workload Arrangements (MWA),"Modified Workload Arrangements may alter regular SWF limits with the consent of 2/3 of affected teachers and the Local Union, capped at 20% of full-time faculty per College.",OPSEU|CAAT-A|2021-2024|Workload|Modified Workload
12.01,Tuition Subsidy ($20 Course Rate),Employees may take Ministry-funded courses offered by the College on their own time for a tuition fee of not more than $20.00 per course.,OPSEU|CAAT-A|2021-2024|Tuition Subsidy|Professional Development
13.01,Copyright and Ownership of Intellectual Property,Works commissioned by the College or produced under normal administrative duties belong to the College. All other works produced by an employee remain the property of the employee under the Copyright Act.,OPSEU|CAAT-A|2021-2024|Copyright|Intellectual Property
13.05,Academic Freedom Rights and Responsibilities,"Faculty have the right to academic freedom to base research and teaching on an honest search for knowledge, subject to legal parameters, Ministry directives, and respecting others' academic freedom.",OPSEU|CAAT-A|2021-2024|Academic Freedom
14.01.B,Initial Step Placement Calculation to Union,"Upon initial hiring, the College shall forward a copy of the employee's initial step placement calculation to the Union Local President.",OPSEU|CAAT-A|2021-2024|Salaries|Step Placement
14.03.A.1,"Full-Time Salary Grid (Professors, Counsellors, Librarians)","Full-time salary schedule for Professors, Counsellors, and Librarians progresses across Steps 5 to 21 (ranging up to Step 21 max based on formal qualifications and experience).",OPSEU|CAAT-A|2021-2024|Salaries|Salary Grid
14.03.A.3,Coordinator Allowance (1 or 2 Steps),Teachers designated as Coordinators providing academic leadership receive an additional allowance equal to 1 or 2 steps on the salary schedule.,OPSEU|CAAT-A|2021-2024|Coordinators|Allowances
14.03.A.4,Maximum Step Qualification Entitlements,"Progression to the maximum salary step requires specific educational qualifications (e.g. Degree + B.Ed., 3-year Diploma/Degree + Ontario Teacher Certificate, or In-Service Certificate).",OPSEU|CAAT-A|2021-2024|Salaries|Qualifications
15.01.A,Full-Time Vacation Entitlement (2 Months / 43 Days),A full-time employee completing 1 academic year is entitled to 2 months vacation (or 43 weekdays if taken non-contiguously) as scheduled by the College.,OPSEU|CAAT-A|2021-2024|Vacation|Full-Time Benefits
15.01.B,11th Month Teaching Bonus (10% Salary Bonus),A teacher assigned to teach an additional 11th month in a continuous 12-month program receives 1 month vacation plus a 10% annual salary bonus for that month.,OPSEU|CAAT-A|2021-2024|Vacation|11th Month Bonus
15.02,Vacation Scheduling & Seniority Priority,The College shall give at least 4 weeks written notice of vacation periods. Seniority is given consideration in resolving conflicting vacation requests.,OPSEU|CAAT-A|2021-2024|Vacation|Seniority
16.01.A,Paid Statutory Holidays,"Paid holidays include Family Day, Good Friday, Victoria Day, Canada Day, Civic Holiday, Labour Day, and Thanksgiving Day without loss of regular salary.",OPSEU|CAAT-A|2021-2024|Holidays
16.01.B,Christmas to New Year Paid Shutdown,Employees are granted the paid holiday period from December 25th to January 1st inclusive without reduction of regular salary.,OPSEU|CAAT-A|2021-2024|Holidays|Christmas Shutdown
17.01.A,Short-Term Disability Plan (STD) Coverage,"All full-time employees are covered by the College-funded STD plan from their first day of service, with benefit year commencing September 1.",OPSEU|CAAT-A|2021-2024|STD|Sick Leave
17.01.F.1,"STD Paid Entitlement (20 Days @ 100%, 110 Days @ 75%)",STD provides up to 20 working days at 100% regular salary plus up to 110 working days at 75% regular salary per benefit year for absence due to illness or injury.,OPSEU|CAAT-A|2021-2024|STD|Sick Leave
17.01.F.7,Independent Medical Exam Costs Paid by College,"Where the College requires an independent medical exam or supplementary medical documentation, the College shall pay the full cost.",OPSEU|CAAT-A|2021-2024|STD|Medical Examinations
18.01,Long-Term Disability Plan (LTD),"LTD benefits provide 60% of regular monthly salary following the expiration of STD benefits, continuing until recovery, age 65, or death.",OPSEU|CAAT-A|2021-2024|LTD|Disability Benefits
19.01,Insured Group Health & Dental Benefits,"The College provides group Extended Health, Vision Care, Hearing Care, Basic Life Insurance, and Dental Plan coverage for full-time employees.",OPSEU|CAAT-A|2021-2024|Benefits|Health & Dental
19.10,Same Sex Spouse Benefit Coverage,"All insured benefit plans (Life, Health, Dental, Vision, Survivor) include coverage for same-sex spouses.",OPSEU|CAAT-A|2021-2024|Benefits|Equality
20.01,Professional Development Leave Purpose,PD Leave provides faculty opportunities to pursue approved academic or technical studies or industrial experience outside the College to enhance professional responsibilities.,OPSEU|CAAT-A|2021-2024|PD Leave|Sabbatical
20.02,PD Leave Allocation & Salary Multiplier (55% - 80%),"The College grants PD leaves to at least 2% of full-time staff with 6+ years service and 1% with 15+ years service, paid at 55% base salary (plus 5%/year after 6 years up to 80% max).",OPSEU|CAAT-A|2021-2024|PD Leave|Salary Scale
21.02,Personal Leave of Absence,Leaves of absence for personal reasons under special circumstances may be granted at the discretion of the College without loss of salary.,OPSEU|CAAT-A|2021-2024|Leaves|Personal Leave
21.07.A,Care for Immediate Family Illness (5 Days),"In each year, the College shall grant up to 5 days of leave to care for an ill member of the employee's immediate family (spouse, children, parents), accessible under STD.",OPSEU|CAAT-A|2021-2024|Leaves|Family Care
22.01.A,Pregnancy Leave Entitlement (17 Weeks),Pregnant employees employed for 13+ weeks prior to expected delivery are entitled to 17 weeks unpaid pregnancy leave under the Employment Standards Act.,OPSEU|CAAT-A|2021-2024|Pregnancy Leave|Parental
22.01.B,Parental Leave Entitlement (Up to 61 / 63 Weeks),Parental leave is granted for up to 61 weeks (for birth mothers taking pregnancy leave) or up to 63 weeks (for other new parents).,OPSEU|CAAT-A|2021-2024|Parental Leave
22.02.B,Pregnancy / Parental SUB Top-Up Plan (93%),Employees eligible for EI benefits receive Supplementary Unemployment Benefit (SUB) top-up payments up to 93% of regular salary for pregnancy and parental leave periods.,OPSEU|CAAT-A|2021-2024|Pregnancy Leave|SUB Top-Up
23.01,Prepaid Leave Plan (PLP),The Prepaid Leave Plan allows employees to spread salary over a multi-year period (e.g. 4 years pay over 5 years) to fund a 1-year leave of absence.,OPSEU|CAAT-A|2021-2024|Prepaid Leave|PLP
24.02.B,Protective Equipment at No Cost,"Where an employee requires safety equipment under OHSA in performing duties, the College provides such equipment at no cost to the employee.",OPSEU|CAAT-A|2021-2024|Health & Safety|Equipment
26.01.B,Partial-Load Definition (>6 to 12 TCH),A partial-load employee is defined as a teacher who teaches more than 6 and up to and including 12 teaching contact hours per week on a regular basis.,OPSEU|CAAT-A|2021-2024|Partial-Load|Definition
26.04,Partial-Load Hourly Wage Grid,Partial-load teachers are paid per teaching contact hour on an hourly rate schedule based on step placement (includes vacation pay portion).,OPSEU|CAAT-A|2021-2024|Partial-Load|Hourly Wages
26.06.A,Partial-Load 100% Paid Extended Health Benefits,"The College pays 100% of the premium for Extended Health Insurance for partial-load employees under contract, with optional opt-in access to Dental/Vision.",OPSEU|CAAT-A|2021-2024|Partial-Load|Health Benefits
26.06.D,Bridging Benefits Between Contracts (5 Months),Partial-load employees with written commitment for future employment within 5 months may continue group insurance participation between contracts by paying 100% premiums.,OPSEU|CAAT-A|2021-2024|Partial-Load|Benefit Bridging
26.08.A,Partial-Load Paid Sick Leave Pro-Rating,Partial-load employees under contract are covered by STD with paid sick leave hours pro-rated based on weekly TCH and contract duration.,OPSEU|CAAT-A|2021-2024|Partial-Load|Sick Leave
26.09,Partial-Load Statutory Holiday Pay,Partial-load employees under contract receive regular pay for statutory holidays that fall on a regularly scheduled teaching day.,OPSEU|CAAT-A|2021-2024|Partial-Load|Holiday Pay
26.10.D,Partial-Load Course Teaching Registry,"The College maintains a record of all courses taught by partial-load employees in a school/department on or after December 20, 2017.",OPSEU|CAAT-A|2021-2024|Partial-Load|Course Registry
26.10.E,Partial-Load Priority Hiring Rights,Registered partial-load employees who have taught a course and have 8+ months service in the last 4 years receive priority hiring when that course is offered on a partial-load basis.,OPSEU|CAAT-A|2021-2024|Partial-Load|Job Priority
27.01,Full-Time Regular Status & Probation,A full-time employee is appointed to regular status upon successful completion of probation and credited with seniority equal to probation served.,OPSEU|CAAT-A|2021-2024|Job Security|Regular Status
27.02.A.1,Probationary Period Duration (1 Year),The probationary period for full-time employees is 1 year of continuous active employment (or 12 full months non-continuous in 24 calendar months).,OPSEU|CAAT-A|2021-2024|Probation|Full-Time
27.02.E,Probationary Employee Release Notice (30 Days),"A probationary employee may be released upon at least 30 calendar days written notice or pay in lieu, with written reasons provided upon request.",OPSEU|CAAT-A|2021-2024|Probation|Notice of Release
27.04.A,Annual Seniority List Posting (January),"In January of each year, the College posts seniority lists of all regular full-time employees and probationary employees showing classification, department, and seniority date.",OPSEU|CAAT-A|2021-2024|Seniority Lists|Postings
27.05,Planned Staff Reduction & Layoff Notice (90 Days),The College notifies Union Local President and CESC of planned staff reductions. Laid-off full-time employees receive at least 90 calendar days written notice.,OPSEU|CAAT-A|2021-2024|Layoff|Notice Requirements
27.06.A,Placement and Bumping Sequence Hierarchy,"Laid-off full-time staff with competence, skill, and experience bump in order: vacant FT position -> lesser seniority FT position -> 2 partial-load positions -> partial-load + part-time -> sessional position.",OPSEU|CAAT-A|2021-2024|Layoff|Bumping Hierarchy
27.09.B,Full-Time Recall Rights (2-Year Window),"Laid-off full-time staff retain recall entitlement to former or other FT positions for which they have competence, skill, and experience for 2 years from layoff date.",OPSEU|CAAT-A|2021-2024|Recall Rights|Job Security
27.10.A,Severance Pay Plan Entitlement (Up to 50%),Full-time employees with 2+ years service who elect severance within 120 days waive recall rights and receive severance up to 50% of annual base salary (for 23+ years service).,OPSEU|CAAT-A|2021-2024|Severance|Layoff Compensation
27.11.A,Job Postings on Central Registry (5 Days),Full-time bargaining unit vacancies are posted internally and on the Central Registry (ontariocollegeemployment.ca) for at least 5 working days.,OPSEU|CAAT-A|2021-2024|Job Postings|Central Registry
27.11.B,Internal Applicant Consideration,First consideration for full-time vacancies is given to full-time and current/recent partial-load employees as internal applicants before external hiring.,OPSEU|CAAT-A|2021-2024|Job Postings|Internal Priority
27.13,Employee Resignation Notice (90 Days),"An employee shall resign by giving at least 90 calendar days written notice to the College, failing which vacation pay may be restricted to ESA minimums.",OPSEU|CAAT-A|2021-2024|Resignation|Notice Period
27.14.A,Discharge Notice Requirement (90 Days),"A non-probationary employee being discharged shall receive 90 calendar days written notification or pay in lieu (unless discharge is for immediate cause), plus vacation pay.",OPSEU|CAAT-A|2021-2024|Discharge|Notice Period
31.01,Performance Appraisals and Employee Views,"Written performance appraisals filed on an employee's record must be shown to the employee in advance, who may add their views before filing.",OPSEU|CAAT-A|2021-2024|Personnel Records|Appraisals
31.02,Disciplinary Notices & Unjust Discipline File Removal,Employees receive copies of disciplinary notices. Notations found to be without cause by the College or an arbitrator shall be removed from the employee's file.,OPSEU|CAAT-A|2021-2024|Discipline|Personnel Files
32.01,Grievance Complaint Phase & Timelines,An employee with a grievance must first discuss it as a complaint with their immediate supervisor within 20 days of the circumstances giving rise to the complaint.,OPSEU|CAAT-A|2021-2024|Grievances|Timelines
32.02,Step 1 and Step 2 Grievance Procedure,"Failing complaint settlement, a formal written grievance is submitted at Step 1 within 10 days, followed by a Step 2 meeting with the College President or designate.",OPSEU|CAAT-A|2021-2024|Grievances|Procedure
32.05,Dismissal Grievance Timeline (20 Days),An employee claiming dismissal without cause shall file a written grievance directly to the College President within 20 days of dismissal notification.,OPSEU|CAAT-A|2021-2024|Grievances|Dismissal
32.08,Group Grievances,"Where multiple employees are directly affected by the same incident, a group grievance signed by affected employees may be filed within 20 days at the Grievance Meeting stage.",OPSEU|CAAT-A|2021-2024|Grievances|Group Grievance
32.09,Union Policy Grievances,The Union Head Office or Union Local President may file a policy grievance regarding agreement interpretation or administration within 40 days of origination.,OPSEU|CAAT-A|2021-2024|Grievances|Policy Grievance
33.01,Expedited Arbitration Process,"By mutual agreement, grievances referred to arbitration may utilize the Expedited Arbitration Process for informal hearings scheduled within 4 months.",OPSEU|CAAT-A|2021-2024|Expedited Arbitration|Grievances
App.I,Standard Workload Form (SWF) Record,"Appendix I establishes the mandatory SWF layout recording assigned teaching contact hours, preparation factors, evaluation factors, complementary hours, and student totals.",OPSEU|CAAT-A|2021-2024|SWF|Appendix I
