clauseRef,title,body,tags
7.7,Special Allowance,Annual special allowance paid on Sept 1: $425 for 6mo-10yr service; $825 for 10+ yrs continuous service.,OPSEU|CAAT-FTSS|2025-2028|Special Allowance|Wages
8.1.1.1,Basic Life Insurance Plan,"100% employer-paid premiums for $25,000 term life insurance and AD&D rider.",OPSEU|CAAT-FTSS|2025-2028|Benefits|Life Insurance
8.1.4,Extended Health,100% employer-paid premiums for Extended Health Benefit Plan.,OPSEU|CAAT-FTSS|2025-2028|Benefits|Extended Health
8.1.9.1,Short Term Disability - Full Pay,"First 10 days per plan year at 100% full pay, carrying forward unused days up to maximum 130 days accumulation.",OPSEU|CAAT-FTSS|2025-2028|Benefits|STD|Sick Leave
8.1.9.2,Short Term Disability - Partial Pay,75% partial pay for 104 days duration of STD coverage.,OPSEU|CAAT-FTSS|2025-2028|Benefits|STD|Sick Leave
8.1.10,Long Term Disability,LTD benefits of 66 2/3% of regular earnings.,OPSEU|CAAT-FTSS|2025-2028|Benefits|LTD
9.1,Reimbursement for Tuition,Reimbursement for all or part of tuition fees for approved educational courses.,OPSEU|CAAT-FTSS|2025-2028|Education|Tuition
9.3,Developmental Leave,Leave of 1 to 12 months for developmental activities after 6 years service; return to position guaranteed.,OPSEU|CAAT-FTSS|2025-2028|Education|Developmental Leave
9.4,Tuition Fees for College Courses,Bargaining unit members may take College courses for $20.00 fee plus required course materials.,OPSEU|CAAT-FTSS|2025-2028|Education|Tuition Fee
9.5,Professional Development Days,Entitlement to up to 3 paid professional development days per year upon written application.,OPSEU|CAAT-FTSS|2025-2028|Education|PD Days
10.1,Holiday Entitlement,"Paid holidays: Family Day, Good Friday, Victoria Day, Canada Day, Civic Holiday, Labour Day, Thanksgiving Day.",OPSEU|CAAT-FTSS|2025-2028|Holidays|Paid Days Off
10.2,Holiday Period Dec 25 - Jan 1,Granted holiday period December 25 to January 1 inclusive without loss of straight time earnings.,OPSEU|CAAT-FTSS|2025-2028|Holidays|Christmas Shutdown
11.1,Vacation Entitlement,1-6 yrs service: 15 days; 7 yrs: 17 days; 8 yrs: 18 days; 9-10 yrs: 20 days; progressing up to 30 days for 25+ years.,OPSEU|CAAT-FTSS|2025-2028|Vacation|Entitlement
11.5,Scheduling Vacation,"At least 3 consecutive weeks entitlement. Preferences submitted by March 1, confirmed/denied by March 15.",OPSEU|CAAT-FTSS|2025-2028|Vacation|Scheduling
11.6,Vacation Carry-Over,Employee may carry over up to 3 weeks vacation to immediately subsequent vacation year.,OPSEU|CAAT-FTSS|2025-2028|Vacation|Carry-Over
12.2.2,Family Leave,Up to 5 days leave per year to care for immediate family members who are ill (drawn from STD credits under 12.2.5).,OPSEU|CAAT-FTSS|2025-2028|Leaves|Family Leave
12.3,Bereavement Leave,"3 or more days paid leave on death of parent, spouse, child, sibling, parent-in-law, grandparent, chosen family, etc. 1 day for aunt/uncle/niece/nephew.",OPSEU|CAAT-FTSS|2025-2028|Leaves|Bereavement
12.6.1,Pregnancy Leave,17 weeks unpaid pregnancy leave under ESA; eligible for SUB plan top-up under 12.6.5.,OPSEU|CAAT-FTSS|2025-2028|Leaves|Pregnancy Leave
12.6.2,Parental Leave,Up to 35 weeks parental leave following pregnancy leave (or 37 weeks for birth parent not taking pregnancy leave/adoptive parent).,OPSEU|CAAT-FTSS|2025-2028|Leaves|Parental Leave
12.8,Domestic or Sexual Violence Leave,Leave provided for domestic or sexual violence; first 5 days paid per calendar year.,OPSEU|CAAT-FTSS|2025-2028|Leaves|Domestic Violence Leave
13.2.1.1,Safety Footwear Reimbursement,Reimbursement up to $175.00 per year upon proof of purchase by March 1 for required protective footwear.,OPSEU|CAAT-FTSS|2025-2028|Health and Safety|Footwear
13.2.1.2,Eye Protection Reimbursement,Reimbursement up to $30.00 per year for required prescription eye protection.,OPSEU|CAAT-FTSS|2025-2028|Health and Safety|Eye Protection
14.1,Probationary Period,Probationary period of 6 months employment in any 12-month period.,OPSEU|CAAT-FTSS|2025-2028|Job Security|Probation
15.2,Layoff Notice to Local Union,14 calendar days written notification and financial/staffing data to Local Union President prior to notice to employees.,OPSEU|CAAT-FTSS|2025-2028|Layoff|Notice|Union Rights
15.3.5.2,Notice Period to Employees,90 calendar days written notification of layoff provided to affected employees.,OPSEU|CAAT-FTSS|2025-2028|Layoff|Notice
15.4.3,Bumping Procedure,"Sequence: vacant position in same payband -> junior employee in same payband -> vacant position in payband 1 lower -> junior in payband 1 lower, repeating in descending order.",OPSEU|CAAT-FTSS|2025-2028|Layoff|Bumping
15.5.1,Enhanced Severance Payments,Under LOU (2025-2028): Less than 5 yrs service receives 1.0 week pay per year x 1.5 upon waiving recall.,OPSEU|CAAT-FTSS|2025-2028|Layoff|Severance
16.1,Performance Appraisal,"Appraisal given in advance, initialed within 7 days. Supervisor reviews PDF to ensure currency.",OPSEU|CAAT-FTSS|2025-2028|Evaluation|Performance
16.2,Disciplinary Notice,Formal disciplinary notice placed in personnel file given to employee; Local Union notified with employee consent.,OPSEU|CAAT-FTSS|2025-2028|Evaluation|Discipline
16.4,Removal of Notices from File,"Request removal of disciplinary notice in official file for more than 1 year, once per calendar year.",OPSEU|CAAT-FTSS|2025-2028|Evaluation|Personnel File
17.1,Job Posting Notices,Vacancies posted electronically for 5 days. Internal applicants assessed prior to outside hiring.,OPSEU|CAAT-FTSS|2025-2028|Job Postings|Vacancies
17.1.1,Consideration - Bargaining Unit Employees,"Successful candidate determined by qualifications, experience, and seniority. Where relatively equal, seniority governs.",OPSEU|CAAT-FTSS|2025-2028|Job Postings|Seniority
18.1.4,Grievance Definition,"Complaint in writing arising from interpretation, application, administration or alleged contravention of Agreement.",OPSEU|CAAT-FTSS|2025-2028|Grievances|Definitions
18.3.1.2,Grievance Step 1,Presented within 15 days of occurrence. Department Head decision in writing within 10 days.,OPSEU|CAAT-FTSS|2025-2028|Grievances|Step 1
18.3.1.3,Grievance Step 2,"Presented to College President within 10 days of Step 1 reply. Meeting within 14 days, decision in writing within 10 days.",OPSEU|CAAT-FTSS|2025-2028|Grievances|Step 2
18.5,Classification Grievances,"Grievance alleging assigned job is improperly evaluated, specifying claimed payband and factor ratings.",OPSEU|CAAT-FTSS|2025-2028|Grievances|Classification|Job Evaluation
